ª¬ºA,©m¦W,¦~«×,¥X¼Æ,¥´®u,¥´¼Æ,¥´ÂI,±o¤À,¦w¥´,¤@¦w,¤G¦w,¤T¦w,¥þÂS¥´,³Q¤T®¶,µsÂS,¥´À»²v,¤WÂS²v,ªø¥´²v,«O°e,¬G·N¥|Ãa,Ä²¨­²y
°h§Ð,ÆN«L,1990,90,378,322,58,58,94,52,21,3,18,58,7,0.292,0.376,0.543,41,6,5
°h§Ð,·ç§J,1990,90,381,342,45,48,110,68,33,2,7,37,7,0.322,0.38,0.491,30,1,4
°h§Ð,¬x¤@¤¤,1990,90,404,365,31,52,104,78,22,4,0,17,5,0.285,0.338,0.367,27,0,4
°h§Ð,¤ý«T­¦,1990,90,348,313,24,32,71,57,12,1,1,40,3,0.227,0.288,0.281,25,0,2
°h§Ð,§õ©~©ú,1990,88,371,335,42,43,97,70,15,4,8,34,3,0.29,0.338,0.43,27,4,0
°h§Ð,ªL©ö¼W,1990,87,383,350,34,66,116,94,15,3,4,20,34,0.331,0.378,0.426,24,0,4
°h§Ð,¦ó¨}§Ó,1990,86,330,278,15,47,67,58,5,4,0,33,12,0.241,0.342,0.288,43,0,0
°h§Ð,ªL¦Ê¦ë,1990,86,338,310,34,31,82,63,14,0,5,28,4,0.265,0.311,0.358,21,2,0
°h§Ð,³¯ª÷­Z,1990,86,364,315,49,59,93,64,21,2,6,40,7,0.295,0.366,0.432,32,0,7
°h§Ð,©s¹p,1990,85,331,283,43,43,68,44,11,2,11,48,3,0.24,0.345,0.41,45,0,1
°h§Ð,ªL®¶½å,1990,85,268,249,21,28,58,45,10,2,1,26,4,0.233,0.275,0.301,14,0,1
°h§Ð,Ã¹°Ò,1990,85,345,325,49,38,77,50,13,1,13,41,4,0.237,0.269,0.403,12,1,3
°h§Ð,«Òªi,1990,85,353,305,49,57,93,59,20,4,10,40,13,0.305,0.372,0.495,32,5,3
°h§Ð,¶ÀÞ£¶©,1990,85,350,311,32,53,87,65,15,4,3,34,8,0.28,0.35,0.383,29,0,5
°h§Ð,§ººa®õ,1990,84,329,273,35,29,77,56,15,2,4,34,1,0.282,0.387,0.396,49,1,1
°h§Ð,¨L«T¨},1990,83,329,285,24,25,69,54,13,1,1,25,3,0.242,0.319,0.305,27,0,5
°h§Ð,¾G¦Ê³Ó,1990,83,332,295,22,41,90,77,12,0,1,21,11,0.305,0.372,0.356,29,0,3
°h§Ð,®]¬L¥ß,1990,83,320,299,42,37,81,60,16,0,5,35,23,0.271,0.296,0.375,10,1,2
°h§Ð,Ò\©¾¨k,1990,83,298,265,12,18,52,49,3,0,0,20,3,0.196,0.26,0.208,22,0,1
°h§Ð,§E´I¸Û,1990,82,246,228,32,21,46,36,5,3,2,54,4,0.202,0.248,0.276,12,0,2
°h§Ð,°¨´µ,1990,82,298,261,53,48,88,49,22,1,16,63,5,0.337,0.399,0.613,24,5,5
°h§Ð,§õ¦wº³,1990,82,321,287,40,36,86,68,13,2,3,53,2,0.3,0.354,0.39,23,0,3
°h§Ð,¤ý¥ú½÷,1990,79,337,310,45,47,106,73,23,1,9,26,3,0.342,0.383,0.51,19,2,3
°h§Ð,³¢«ØÀM,1990,78,317,276,35,32,72,61,11,0,0,21,8,0.261,0.324,0.301,27,0,0
°h§Ð,³Á§J,1990,77,281,249,32,32,59,34,21,1,3,40,3,0.237,0.293,0.365,19,0,3
°h§Ð,³¯¥¿¤¤,1990,76,299,264,45,31,63,45,10,1,7,43,3,0.239,0.308,0.364,27,4,1
°h§Ð,§V¨º,1990,75,283,268,25,25,64,52,8,3,1,33,6,0.239,0.269,0.302,7,0,4
°h§Ð,¬x¥¿´Ü,1990,74,276,255,24,28,62,51,10,1,0,48,6,0.243,0.269,0.29,10,1,0
°h§Ð,¾G©¯¥Í,1990,72,282,269,27,30,83,67,13,1,2,38,6,0.309,0.326,0.387,9,0,0
